지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,2002-01-01,-7.5,1.3
108,서울,2002-01-02,-11.4,-7.3
108,서울,2002-01-03,-12,-2
108,서울,2002-01-04,-3.4,5.7
108,서울,2002-01-05,-3,1.9
108,서울,2002-01-06,-5.4,5.2
108,서울,2002-01-07,-6.9,3.7
108,서울,2002-01-08,-8,-3.9
108,서울,2002-01-09,-8.3,1
108,서울,2002-01-10,-1.1,5.7
108,서울,2002-01-11,.8,8.1
108,서울,2002-01-12,.5,9.6
108,서울,2002-01-13,4,11.1
108,서울,2002-01-14,6.2,13.4
108,서울,2002-01-15,11,13.5
108,서울,2002-01-16,3.3,12.3
108,서울,2002-01-17,2,4.7
108,서울,2002-01-18,-.7,6.2
108,서울,2002-01-19,1.9,10
108,서울,2002-01-20,.6,5.2
108,서울,2002-01-21,-3,1.9
108,서울,2002-01-22,-6,-2.2
108,서울,2002-01-23,-6.7,-.6
108,서울,2002-01-24,-6,1
108,서울,2002-01-25,-7.2,3.3
108,서울,2002-01-26,-1.6,3.8
108,서울,2002-01-27,-3.1,2.2
108,서울,2002-01-28,-4.9,.1
108,서울,2002-01-29,-6.2,2.9
108,서울,2002-01-30,-3.1,2.3
108,서울,2002-01-31,-4.8,2
108,서울,2002-02-01,-3.9,5.6
108,서울,2002-02-02,2.2,8.1
108,서울,2002-02-03,-1.1,10.3
108,서울,2002-02-04,0,9
108,서울,2002-02-05,.9,9
108,서울,2002-02-06,3.2,9.4
108,서울,2002-02-07,.6,9.1
108,서울,2002-02-08,-3.2,4.8
108,서울,2002-02-09,-5.1,1.3
108,서울,2002-02-10,-3.2,2.8
108,서울,2002-02-11,-5,2.7
108,서울,2002-02-12,-4.7,2.9
108,서울,2002-02-13,-3.3,4.3
108,서울,2002-02-14,-3,5.8
108,서울,2002-02-15,-3.3,6.9
108,서울,2002-02-16,-.3,6.3
108,서울,2002-02-17,-1.6,6.4
108,서울,2002-02-18,-4.8,2.5
108,서울,2002-02-19,-5,4.1
108,서울,2002-02-20,-2.8,8.2
108,서울,2002-02-21,1.6,6.1
108,서울,2002-02-22,3.3,9.6
108,서울,2002-02-23,2.1,10.2
108,서울,2002-02-24,.4,12.6
108,서울,2002-02-25,2.6,8.4
108,서울,2002-02-26,2.9,10.8
108,서울,2002-02-27,4.6,10.6
108,서울,2002-02-28,2.9,11.3
108,서울,2002-03-01,1.1,13.1
108,서울,2002-03-02,4.5,11.5
108,서울,2002-03-03,2.3,9.4
108,서울,2002-03-04,-.7,8.3
108,서울,2002-03-05,1.4,6.2
108,서울,2002-03-06,-.9,4.6
108,서울,2002-03-07,-2.9,5.8
108,서울,2002-03-08,-.9,8.7
108,서울,2002-03-09,2.4,14.9
108,서울,2002-03-10,6,13.3
108,서울,2002-03-11,3.2,12.6
108,서울,2002-03-12,3.5,15.5
108,서울,2002-03-13,5.7,19.4
108,서울,2002-03-14,7.6,14.5
108,서울,2002-03-15,6.2,12
108,서울,2002-03-16,3.1,13.6
108,서울,2002-03-17,6.1,14
108,서울,2002-03-18,3.9,11.8
108,서울,2002-03-19,4.3,14.2
108,서울,2002-03-20,3.5,18.2
108,서울,2002-03-21,4.6,13.9
108,서울,2002-03-22,3.5,9.7
108,서울,2002-03-23,1.7,8.7
108,서울,2002-03-24,.6,9.1
108,서울,2002-03-25,1.8,12.1
108,서울,2002-03-26,5.1,12.5
108,서울,2002-03-27,6.1,15.8
108,서울,2002-03-28,6.1,17.2
108,서울,2002-03-29,9.3,17.4
108,서울,2002-03-30,6.5,11.4
108,서울,2002-03-31,7.3,14.5
108,서울,2002-04-01,6.6,19.3
108,서울,2002-04-02,8.5,22.6
108,서울,2002-04-03,10.4,20.8
108,서울,2002-04-04,8.3,21.8
108,서울,2002-04-05,10.6,25.2
108,서울,2002-04-06,9.5,13.6
108,서울,2002-04-07,7.9,10.9
108,서울,2002-04-08,5.1,12.4
108,서울,2002-04-09,4.3,11.5
108,서울,2002-04-10,4.3,12.9
108,서울,2002-04-11,4.9,13.6
108,서울,2002-04-12,7.6,15.4
108,서울,2002-04-13,5.3,16
108,서울,2002-04-14,14.4,23.5
108,서울,2002-04-15,17.3,23.9
108,서울,2002-04-16,9.9,18.1
108,서울,2002-04-17,7.2,12.3
108,서울,2002-04-18,6.2,16.3
108,서울,2002-04-19,6,18.4
108,서울,2002-04-20,6.3,21.7
108,서울,2002-04-21,9.6,23.8
108,서울,2002-04-22,12.9,27.7
108,서울,2002-04-23,13,22.2
108,서울,2002-04-24,7,13.4
108,서울,2002-04-25,4.9,16.6
108,서울,2002-04-26,6.7,20.6
108,서울,2002-04-27,11.6,22.2
108,서울,2002-04-28,11.2,25.3
108,서울,2002-04-29,12.2,19.1
108,서울,2002-04-30,13.7,15.9
108,서울,2002-05-01,11.6,25.7
108,서울,2002-05-02,11.6,25.3
108,서울,2002-05-03,12.4,19.6
108,서울,2002-05-04,13.6,25.9
108,서울,2002-05-05,14.1,25.2
108,서울,2002-05-06,11.1,19.7
108,서울,2002-05-07,10.6,12
108,서울,2002-05-08,10,23.1
108,서울,2002-05-09,13.2,23.4
108,서울,2002-05-10,14.3,23.1
108,서울,2002-05-11,14.2,23.5
108,서울,2002-05-12,12.2,22.3
108,서울,2002-05-13,12.5,24.9
108,서울,2002-05-14,15.4,25.6
108,서울,2002-05-15,13.9,22
108,서울,2002-05-16,12.6,17.3
108,서울,2002-05-17,11.2,15.3
108,서울,2002-05-18,11.6,23.6
108,서울,2002-05-19,13.1,22.1
108,서울,2002-05-20,13.5,25.9
108,서울,2002-05-21,13.6,25.7
108,서울,2002-05-22,15.8,26
108,서울,2002-05-23,15.6,27.7
108,서울,2002-05-24,15.3,25.3
108,서울,2002-05-25,14,26.6
108,서울,2002-05-26,14,24.3
108,서울,2002-05-27,12.5,25.3
108,서울,2002-05-28,14.1,25.3
108,서울,2002-05-29,13.8,27
108,서울,2002-05-30,15.4,24.5
108,서울,2002-05-31,16.4,25.7
108,서울,2002-06-01,17.1,24.8
108,서울,2002-06-02,15.3,30
108,서울,2002-06-03,17.6,29.1
108,서울,2002-06-04,18.2,27.6
108,서울,2002-06-05,19.1,31.4
108,서울,2002-06-06,21.2,31.2
108,서울,2002-06-07,19.6,30.6
108,서울,2002-06-08,19.4,27.1
108,서울,2002-06-09,18.3,28
108,서울,2002-06-10,20,26.6
108,서울,2002-06-11,19,26.8
108,서울,2002-06-12,16.6,22.9
108,서울,2002-06-13,16,24.4
108,서울,2002-06-14,16.4,25
108,서울,2002-06-15,17.4,24.8
108,서울,2002-06-16,15.7,28.6
108,서울,2002-06-17,17.9,28.4
108,서울,2002-06-18,19,28.9
108,서울,2002-06-19,20.2,26.2
108,서울,2002-06-20,19.2,26.1
108,서울,2002-06-21,18.8,28.4
108,서울,2002-06-22,18.9,29.2
108,서울,2002-06-23,16.9,21.3
108,서울,2002-06-24,15.3,17.7
108,서울,2002-06-25,15.5,25
108,서울,2002-06-26,14.5,27.7
108,서울,2002-06-27,16.5,27.5
108,서울,2002-06-28,17.4,30
108,서울,2002-06-29,18.9,32
108,서울,2002-06-30,22.4,31.5
108,서울,2002-07-01,22.9,27.9
108,서울,2002-07-02,21.5,28.8
108,서울,2002-07-03,21.8,30.6
108,서울,2002-07-04,22.3,32.3
108,서울,2002-07-05,20.5,27.1
108,서울,2002-07-06,20,23.1
108,서울,2002-07-07,20.2,25.3
108,서울,2002-07-08,20.8,29.1
108,서울,2002-07-09,20.3,29.7
108,서울,2002-07-10,21.6,31.6
108,서울,2002-07-11,20.7,29.7
108,서울,2002-07-12,22.5,29.1
108,서울,2002-07-13,22.3,29.3
108,서울,2002-07-14,22.4,24.2
108,서울,2002-07-15,23.5,29.4
108,서울,2002-07-16,21.8,28.5
108,서울,2002-07-17,22,28.4
108,서울,2002-07-18,20.6,29.2
108,서울,2002-07-19,19.2,24.7
108,서울,2002-07-20,18.9,27.9
108,서울,2002-07-21,23.1,29.1
108,서울,2002-07-22,21.7,27
108,서울,2002-07-23,21.5,23.2
108,서울,2002-07-24,22.6,27.6
108,서울,2002-07-25,22.4,33.8
108,서울,2002-07-26,24.5,31.5
108,서울,2002-07-27,25.8,33.6
108,서울,2002-07-28,25.6,34.8
108,서울,2002-07-29,25.6,30
108,서울,2002-07-30,24,29.8
108,서울,2002-07-31,24.5,28
108,서울,2002-08-01,24.3,28.5
108,서울,2002-08-02,23.8,29.8
108,서울,2002-08-03,22.2,30
108,서울,2002-08-04,22.5,28.1
108,서울,2002-08-05,23.2,28.3
108,서울,2002-08-06,19.9,26.1
108,서울,2002-08-07,19.9,22
108,서울,2002-08-08,21.2,30.1
108,서울,2002-08-09,22.1,29.4
108,서울,2002-08-10,19.4,24.1
108,서울,2002-08-11,18.4,23.9
108,서울,2002-08-12,17.9,24
108,서울,2002-08-13,19.7,26
108,서울,2002-08-14,20.8,26.7
108,서울,2002-08-15,19.3,28.9
108,서울,2002-08-16,22.2,26.7
108,서울,2002-08-17,21.8,24.1
108,서울,2002-08-18,20.9,28.9
108,서울,2002-08-19,19.5,26.2
108,서울,2002-08-20,19.8,29.1
108,서울,2002-08-21,21.8,28.6
108,서울,2002-08-22,21.5,23.8
108,서울,2002-08-23,22.4,27
108,서울,2002-08-24,22.4,29.6
108,서울,2002-08-25,20.4,30.5
108,서울,2002-08-26,23,30.2
108,서울,2002-08-27,23,26.5
108,서울,2002-08-28,21.3,31
108,서울,2002-08-29,24.2,32.2
108,서울,2002-08-30,24.4,27.3
108,서울,2002-08-31,19.2,26.1
108,서울,2002-09-01,19.5,27.1
108,서울,2002-09-02,22.8,29.1
108,서울,2002-09-03,23.7,30.6
108,서울,2002-09-04,23.7,30.2
108,서울,2002-09-05,20.1,25.5
108,서울,2002-09-06,19.1,26
108,서울,2002-09-07,17.5,28.7
108,서울,2002-09-08,18.4,28.9
108,서울,2002-09-09,20.9,27.9
108,서울,2002-09-10,20.3,29.4
108,서울,2002-09-11,19.9,29.3
108,서울,2002-09-12,16.8,22.9
