지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,1962-01-01,-5,.4
108,서울,1962-01-02,-9.2,-2.9
108,서울,1962-01-03,-9.8,2.6
108,서울,1962-01-04,-7,4.9
108,서울,1962-01-05,-10.4,-3.2
108,서울,1962-01-06,-7.8,-.2
108,서울,1962-01-07,-7,3.6
108,서울,1962-01-08,-6.1,4.5
108,서울,1962-01-09,-2.3,7.9
108,서울,1962-01-10,-1,5.5
108,서울,1962-01-11,-.2,3.5
108,서울,1962-01-12,.4,4.7
108,서울,1962-01-13,-2.9,4
108,서울,1962-01-14,-6.3,.1
108,서울,1962-01-15,-8.4,-.8
108,서울,1962-01-16,-9.8,-.4
108,서울,1962-01-17,-8.4,2.2
108,서울,1962-01-18,-6.3,.4
108,서울,1962-01-19,-9.2,.6
108,서울,1962-01-20,-9.4,.3
108,서울,1962-01-21,-9.1,.6
108,서울,1962-01-22,-8.8,-.8
108,서울,1962-01-23,-11.3,-2.4
108,서울,1962-01-24,-9.4,-2.2
108,서울,1962-01-25,-8.7,-.4
108,서울,1962-01-26,-8.1,-1.8
108,서울,1962-01-27,-11.3,-3
108,서울,1962-01-28,-9,.1
108,서울,1962-01-29,-5.8,1.1
108,서울,1962-01-30,-9,.7
108,서울,1962-01-31,-9,-.8
108,서울,1962-02-01,-10.8,1.6
108,서울,1962-02-02,-9.4,3.6
108,서울,1962-02-03,-7.4,4.9
108,서울,1962-02-04,-5.4,6
108,서울,1962-02-05,-4.8,6.4
108,서울,1962-02-06,-5,5.5
108,서울,1962-02-07,-5.4,7.9
108,서울,1962-02-08,-1.4,4.5
108,서울,1962-02-09,.5,9.4
108,서울,1962-02-10,3.8,12.5
108,서울,1962-02-11,-1.2,5.1
108,서울,1962-02-12,-7,1.6
108,서울,1962-02-13,-10.9,-3.1
108,서울,1962-02-14,-6.4,.5
108,서울,1962-02-15,-8.8,-2.6
108,서울,1962-02-16,-10,2.3
108,서울,1962-02-17,-2.6,3.9
108,서울,1962-02-18,-1.8,2.1
108,서울,1962-02-19,-4.4,.6
108,서울,1962-02-20,-5.8,6.3
108,서울,1962-02-21,-.6,5.6
108,서울,1962-02-22,0,10.6
108,서울,1962-02-23,-2,6
108,서울,1962-02-24,-2.2,6.9
108,서울,1962-02-25,-6.2,1.4
108,서울,1962-02-26,-7.2,0
108,서울,1962-02-27,-7.2,2.4
108,서울,1962-02-28,-3.8,5
108,서울,1962-03-01,-3.7,5.1
108,서울,1962-03-02,-5.5,3.3
108,서울,1962-03-03,-4.2,7
108,서울,1962-03-04,2.2,8.4
108,서울,1962-03-05,3.2,11.7
108,서울,1962-03-06,.3,6.2
108,서울,1962-03-07,-3.2,5.4
108,서울,1962-03-08,-3.4,7.6
108,서울,1962-03-09,-.1,10.2
108,서울,1962-03-10,-1.6,5.7
108,서울,1962-03-11,-3.3,6.5
108,서울,1962-03-12,1.6,14.2
108,서울,1962-03-13,1.9,18.2
108,서울,1962-03-14,6.4,18.2
108,서울,1962-03-15,-2.2,7
108,서울,1962-03-16,-5.5,-.8
108,서울,1962-03-17,-6,4
108,서울,1962-03-18,-2,6.8
108,서울,1962-03-19,3.1,13
108,서울,1962-03-20,4.2,9.2
108,서울,1962-03-21,1.2,7.4
108,서울,1962-03-22,-.6,8.1
108,서울,1962-03-23,-1.8,5.4
108,서울,1962-03-24,-1.5,7
108,서울,1962-03-25,.4,5.9
108,서울,1962-03-26,-3,2.2
108,서울,1962-03-27,-1,8.4
108,서울,1962-03-28,-.1,6.2
108,서울,1962-03-29,-2.4,6.4
108,서울,1962-03-30,-3.3,8.9
108,서울,1962-03-31,-1.8,12.6
108,서울,1962-04-01,.2,17.8
108,서울,1962-04-02,.6,13
108,서울,1962-04-03,-3.5,1.5
108,서울,1962-04-04,-3.8,6.3
108,서울,1962-04-05,1.4,13.8
108,서울,1962-04-06,5.4,13.9
108,서울,1962-04-07,11.8,15.3
108,서울,1962-04-08,8.2,14.9
108,서울,1962-04-09,6.6,14.7
108,서울,1962-04-10,5,13.9
108,서울,1962-04-11,2.9,12.9
108,서울,1962-04-12,4.2,17.5
108,서울,1962-04-13,5.8,13.1
108,서울,1962-04-14,4.2,14.3
108,서울,1962-04-15,3.3,16.7
108,서울,1962-04-16,4.5,19.8
108,서울,1962-04-17,2.6,11.2
108,서울,1962-04-18,.7,10.8
108,서울,1962-04-19,3.2,17.3
108,서울,1962-04-20,6.2,17.8
108,서울,1962-04-21,8.4,19.2
108,서울,1962-04-22,7.3,23.8
108,서울,1962-04-23,10.2,21.1
108,서울,1962-04-24,11.8,19.2
108,서울,1962-04-25,8.8,12.3
108,서울,1962-04-26,8.3,16.9
108,서울,1962-04-27,6.3,10.1
108,서울,1962-04-28,5,16.5
108,서울,1962-04-29,5.5,17.5
108,서울,1962-04-30,5.6,21.3
108,서울,1962-05-01,7.9,21.9
108,서울,1962-05-02,8.7,22
108,서울,1962-05-03,11.4,19.6
108,서울,1962-05-04,11.2,21.3
108,서울,1962-05-05,7.6,20.9
108,서울,1962-05-06,9.2,20.9
108,서울,1962-05-07,10.1,24.7
108,서울,1962-05-08,10.6,22.6
108,서울,1962-05-09,9.9,19.8
108,서울,1962-05-10,7.9,21.2
108,서울,1962-05-11,11.4,22.4
108,서울,1962-05-12,10.4,17.8
108,서울,1962-05-13,9.9,20.5
108,서울,1962-05-14,13.4,20.9
108,서울,1962-05-15,11.9,25.5
108,서울,1962-05-16,10.2,19.5
108,서울,1962-05-17,7.3,19.2
108,서울,1962-05-18,10.6,21.6
108,서울,1962-05-19,10.2,22
108,서울,1962-05-20,11.7,25.5
108,서울,1962-05-21,14.4,24.6
108,서울,1962-05-22,13.4,28.3
108,서울,1962-05-23,15.2,30.2
108,서울,1962-05-24,13.8,28.2
108,서울,1962-05-25,13.8,26.5
108,서울,1962-05-26,12.6,28
108,서울,1962-05-27,13.5,29.4
108,서울,1962-05-28,14,27.8
108,서울,1962-05-29,14.5,28.2
108,서울,1962-05-30,15.4,25.8
108,서울,1962-05-31,14.8,30.7
108,서울,1962-06-01,15.3,25.5
108,서울,1962-06-02,15.4,18.3
108,서울,1962-06-03,15.6,27.3
108,서울,1962-06-04,16,24.4
108,서울,1962-06-05,14.2,22.4
108,서울,1962-06-06,11.2,25.8
108,서울,1962-06-07,14,20.5
108,서울,1962-06-08,13.4,23.6
108,서울,1962-06-09,13.8,27.2
108,서울,1962-06-10,15.2,21.1
108,서울,1962-06-11,13.4,25.5
108,서울,1962-06-12,14.2,27.4
108,서울,1962-06-13,16.3,25.4
108,서울,1962-06-14,17.2,24.2
108,서울,1962-06-15,15.2,29.1
108,서울,1962-06-16,17.8,30.5
108,서울,1962-06-17,19.8,32.4
108,서울,1962-06-18,17.4,30.8
108,서울,1962-06-19,18.4,30.8
108,서울,1962-06-20,15.8,25.7
108,서울,1962-06-21,15.4,20.9
108,서울,1962-06-22,18.6,26.8
108,서울,1962-06-23,18.3,26.7
108,서울,1962-06-24,17.4,27.6
108,서울,1962-06-25,18,26.6
108,서울,1962-06-26,17.8,24.3
108,서울,1962-06-27,18.2,27.8
108,서울,1962-06-28,17.5,30.6
108,서울,1962-06-29,19.6,31.4
108,서울,1962-06-30,19.2,30.7
108,서울,1962-07-01,17.2,32.9
108,서울,1962-07-02,19.8,35
108,서울,1962-07-03,21,31.5
108,서울,1962-07-04,21.8,30.6
108,서울,1962-07-05,21.2,34.5
108,서울,1962-07-06,22,34.1
108,서울,1962-07-07,21.1,30.4
108,서울,1962-07-08,20.8,32.3
108,서울,1962-07-09,18.8,24.4
108,서울,1962-07-10,23.2,30.6
108,서울,1962-07-11,22.6,26.3
108,서울,1962-07-12,21.1,29.8
108,서울,1962-07-13,20.2,29.6
108,서울,1962-07-14,20.6,33.2
108,서울,1962-07-15,20.2,30.7
108,서울,1962-07-16,23.4,34
108,서울,1962-07-17,23.3,27.8
108,서울,1962-07-18,22.4,29.3
108,서울,1962-07-19,21.3,28
108,서울,1962-07-20,21.5,24.3
108,서울,1962-07-21,21.4,30.6
108,서울,1962-07-22,22.4,26.8
108,서울,1962-07-23,21.4,26.6
108,서울,1962-07-24,23.2,34.2
108,서울,1962-07-25,25.8,35
108,서울,1962-07-26,25.4,34.7
108,서울,1962-07-27,25.1,32.9
108,서울,1962-07-28,24.4,27.2
108,서울,1962-07-29,24.4,25.8
108,서울,1962-07-30,25,30.4
108,서울,1962-07-31,24.8,32.2
108,서울,1962-08-01,24.9,30.4
108,서울,1962-08-02,23.3,28
108,서울,1962-08-03,22.3,28
108,서울,1962-08-04,23.6,30.4
108,서울,1962-08-05,22.8,28.4
108,서울,1962-08-06,22.9,28.8
108,서울,1962-08-07,24.1,31.1
108,서울,1962-08-08,22.3,26.9
108,서울,1962-08-09,22.6,28.7
108,서울,1962-08-10,22.2,30.4
108,서울,1962-08-11,22.5,32.5
108,서울,1962-08-12,22.2,33.1
108,서울,1962-08-13,22.4,32.4
108,서울,1962-08-14,23.8,29
108,서울,1962-08-15,23.3,27.4
108,서울,1962-08-16,22,26.6
108,서울,1962-08-17,21.8,27.5
108,서울,1962-08-18,22.5,29.9
108,서울,1962-08-19,23.5,30
108,서울,1962-08-20,22.4,30.9
108,서울,1962-08-21,22.1,32.1
108,서울,1962-08-22,23.7,31.2
108,서울,1962-08-23,23.1,30.8
108,서울,1962-08-24,20.8,26.4
108,서울,1962-08-25,21.2,28.3
108,서울,1962-08-26,21,29.2
108,서울,1962-08-27,21,22.8
108,서울,1962-08-28,21.5,28.1
108,서울,1962-08-29,20,29
108,서울,1962-08-30,19.7,27.8
108,서울,1962-08-31,22,27.8
108,서울,1962-09-01,20.2,27
108,서울,1962-09-02,19.4,22.7
108,서울,1962-09-03,20.2,28
108,서울,1962-09-04,20,27.9
108,서울,1962-09-05,21.3,28.7
108,서울,1962-09-06,19.2,22
108,서울,1962-09-07,19.5,29.8
108,서울,1962-09-08,18.2,26.3
108,서울,1962-09-09,16.3,25.2
108,서울,1962-09-10,14,27.1
108,서울,1962-09-11,19,27
108,서울,1962-09-12,18,23
108,서울,1962-09-13,17.3,22.8
108,서울,1962-09-14,18.2,27.5
108,서울,1962-09-15,17.5,28.6
108,서울,1962-09-16,16.8,23.2
108,서울,1962-09-17,16.3,21.2
108,서울,1962-09-18,16.5,25.1
108,서울,1962-09-19,18.8,24.4
108,서울,1962-09-20,17.5,26.5
108,서울,1962-09-21,16.7,27.6
108,서울,1962-09-22,15.6,26
108,서울,1962-09-23,17.1,24.3
108,서울,1962-09-24,12.8,21.1
108,서울,1962-09-25,11.9,21.7
108,서울,1962-09-26,9.4,22.7
108,서울,1962-09-27,11.9,18.4
108,서울,1962-09-28,12.3,20.9
108,서울,1962-09-29,9.4,21
108,서울,1962-09-30,8.5,21.8
108,서울,1962-10-01,14,22
108,서울,1962-10-02,14.6,22
108,서울,1962-10-03,16.3,22.8
108,서울,1962-10-04,12.6,20.8
108,서울,1962-10-05,8.8,21
108,서울,1962-10-06,7.5,22.1
108,서울,1962-10-07,8,21.2
108,서울,1962-10-08,13.3,22.9
108,서울,1962-10-09,13.5,25.6
108,서울,1962-10-10,15,20.4
108,서울,1962-10-11,14.1,24.2
108,서울,1962-10-12,12,22.4
108,서울,1962-10-13,7.4,16.4
108,서울,1962-10-14,2.3,9.4
108,서울,1962-10-15,1.5,14.1
108,서울,1962-10-16,3.8,18.6
108,서울,1962-10-17,7.7,19.3
108,서울,1962-10-18,7.5,19.6
108,서울,1962-10-19,8,18.9
108,서울,1962-10-20,6.9,17.4
108,서울,1962-10-21,4.2,12.6
108,서울,1962-10-22,4.3,17.2
108,서울,1962-10-23,5.6,16.8
108,서울,1962-10-24,8.8,16.9
108,서울,1962-10-25,5.4,16.1
108,서울,1962-10-26,3.8,16.7
108,서울,1962-10-27,4.3,17.7
108,서울,1962-10-28,4.4,18.1
108,서울,1962-10-29,4.4,17.3
108,서울,1962-10-30,4.3,17.2
108,서울,1962-10-31,5.2,19.7
108,서울,1962-11-01,7.8,20.8
108,서울,1962-11-02,11.9,17.5
108,서울,1962-11-03,9.7,16.4
108,서울,1962-11-04,1.5,10
108,서울,1962-11-05,.7,7.7
108,서울,1962-11-06,-1,11.4
108,서울,1962-11-07,4.8,12.9
108,서울,1962-11-08,7,12.9
108,서울,1962-11-09,3.3,11.6
108,서울,1962-11-10,0,12.3
108,서울,1962-11-11,5.3,16.9
108,서울,1962-11-12,10,18.8
108,서울,1962-11-13,7.5,18.9
108,서울,1962-11-14,8,19.8
108,서울,1962-11-15,9,20.6
108,서울,1962-11-16,6.8,15.8
108,서울,1962-11-17,3.5,12
108,서울,1962-11-18,-.4,12
108,서울,1962-11-19,4.4,9.6
108,서울,1962-11-20,4,5.6
108,서울,1962-11-21,-.3,5.6
108,서울,1962-11-22,-5,3.2
108,서울,1962-11-23,-6.6,.5
108,서울,1962-11-24,-7.7,1
108,서울,1962-11-25,-3.6,1.2
108,서울,1962-11-26,-1.2,7.3
108,서울,1962-11-27,1,7
108,서울,1962-11-28,-3.1,3.3
108,서울,1962-11-29,-5,.5
108,서울,1962-11-30,-6,2
108,서울,1962-12-01,-5.4,2.7
108,서울,1962-12-02,-1.7,5.7
108,서울,1962-12-03,-3.9,5
108,서울,1962-12-04,-4.7,.3
108,서울,1962-12-05,-5.9,.6
108,서울,1962-12-06,-8.4,3.9
108,서울,1962-12-07,-6.6,4.9
108,서울,1962-12-08,-.5,3.6
108,서울,1962-12-09,-2.3,9.9
108,서울,1962-12-10,.3,9.9
108,서울,1962-12-11,-4.2,4.6
108,서울,1962-12-12,-4.2,5.2
108,서울,1962-12-13,-3.2,8.4
108,서울,1962-12-14,-1,4.9
108,서울,1962-12-15,-3.8,3.6
108,서울,1962-12-16,-4.5,3.8
108,서울,1962-12-17,-1.3,4.3
108,서울,1962-12-18,-2.8,5.8
108,서울,1962-12-19,-.2,6.3
108,서울,1962-12-20,-4.8,4.2
108,서울,1962-12-21,-5.9,2
108,서울,1962-12-22,-5.4,5.1
108,서울,1962-12-23,3.4,8.6
108,서울,1962-12-24,.5,7.8
108,서울,1962-12-25,-.5,10.3
108,서울,1962-12-26,-2.6,9.7
108,서울,1962-12-27,3.7,12.5
108,서울,1962-12-28,5.3,12.4
108,서울,1962-12-29,-1.2,10.6
108,서울,1962-12-30,-10.4,-1.2
108,서울,1962-12-31,-11.5,-5.5
108,서울,1963-01-01,-10.7,.5
108,서울,1963-01-02,-8.7,-.9
108,서울,1963-01-03,-7.1,.8
108,서울,1963-01-04,-9.5,.8
108,서울,1963-01-05,-12.4,-1
108,서울,1963-01-06,-13.8,-7.1
108,서울,1963-01-07,-13.8,-3.6
108,서울,1963-01-08,-9.5,-2.8
108,서울,1963-01-09,-10.5,-.3
108,서울,1963-01-10,-9.8,-3.3
108,서울,1963-01-11,-13.7,-7.6
108,서울,1963-01-12,-14.8,-8.8
108,서울,1963-01-13,-16,-6.8
108,서울,1963-01-14,-12.5,-1.9
108,서울,1963-01-15,-15.9,-11
108,서울,1963-01-16,-16.2,-8.1
108,서울,1963-01-17,-10.6,1.6
108,서울,1963-01-18,-12.5,-3.4
108,서울,1963-01-19,-15,-8.1
108,서울,1963-01-20,-14.3,-8.9
108,서울,1963-01-21,-17.7,-9.8
108,서울,1963-01-22,-16.2,-6.7
108,서울,1963-01-23,-18.4,-12.1
108,서울,1963-01-24,-18,-10.6
108,서울,1963-01-25,-15.9,-8.6
108,서울,1963-01-26,-16.1,-5.3
108,서울,1963-01-27,-12.2,-1.8
108,서울,1963-01-28,-10.6,-2
108,서울,1963-01-29,-8.5,-1.6
108,서울,1963-01-30,-10.5,-4.8
108,서울,1963-01-31,-11.6,-5.9
108,서울,1963-02-01,-12.6,-4.2
108,서울,1963-02-02,-12.1,-2.6
108,서울,1963-02-03,-11.4,-3.8
108,서울,1963-02-04,-11.4,-3.2
108,서울,1963-02-05,-11.4,-.4
108,서울,1963-02-06,-9.9,1.2
108,서울,1963-02-07,-7.2,2.5
108,서울,1963-02-08,-5.7,.6
108,서울,1963-02-09,-8.8,1.3
108,서울,1963-02-10,-6.9,3.8
108,서울,1963-02-11,-3.1,4.7
108,서울,1963-02-12,-5.5,.6
108,서울,1963-02-13,-7.3,2
108,서울,1963-02-14,-7.3,4.7
108,서울,1963-02-15,-2.4,3.9
108,서울,1963-02-16,-4,5.8
108,서울,1963-02-17,-3.2,4.7
108,서울,1963-02-18,-5.7,4.1
108,서울,1963-02-19,-4.4,3.3
108,서울,1963-02-20,-5.7,3.5
108,서울,1963-02-21,-6.3,4.9
108,서울,1963-02-22,-5.4,4.6
108,서울,1963-02-23,-2.8,8.2
108,서울,1963-02-24,-3.7,4
108,서울,1963-02-25,-4.6,6.3
108,서울,1963-02-26,-3.2,.8
108,서울,1963-02-27,-4.2,2.2
108,서울,1963-02-28,-5.7,4.3
108,서울,1963-03-01,1.3,10.6
108,서울,1963-03-02,-1.4,12.2
108,서울,1963-03-03,1,9.2
108,서울,1963-03-04,-2,6.4
108,서울,1963-03-05,-3.1,7
108,서울,1963-03-06,-3.2,7.4
108,서울,1963-03-07,-3.1,8.2
108,서울,1963-03-08,-1.7,8.4
108,서울,1963-03-09,-.4,4.4
108,서울,1963-03-10,-1,7
108,서울,1963-03-11,-2,10.4
108,서울,1963-03-12,.6,10.7
108,서울,1963-03-13,-.9,13.1
108,서울,1963-03-14,0,12.4
108,서울,1963-03-15,2.5,12.5
108,서울,1963-03-16,-.2,14.6
108,서울,1963-03-17,1.6,13.4
108,서울,1963-03-18,2.7,11.1
108,서울,1963-03-19,6.2,13.7
108,서울,1963-03-20,6.3,17.1
108,서울,1963-03-21,3.9,15
108,서울,1963-03-22,3,16.4
108,서울,1963-03-23,.4,7
108,서울,1963-03-24,-.5,9.8
108,서울,1963-03-25,-.6,13.2
108,서울,1963-03-26,.7,14.4
108,서울,1963-03-27,1,16.1
108,서울,1963-03-28,.8,10.2
108,서울,1963-03-29,.2,9.2
108,서울,1963-03-30,-.2,12.9
108,서울,1963-03-31,5.8,19.2
108,서울,1963-04-01,5.9,13.5
108,서울,1963-04-02,2,14.8
108,서울,1963-04-03,2.8,9.4
108,서울,1963-04-04,6.9,19.5
108,서울,1963-04-05,9.6,16.4
108,서울,1963-04-06,4.4,9.9
108,서울,1963-04-07,3.3,12.3
108,서울,1963-04-08,1.8,5.9
108,서울,1963-04-09,1.5,9.2
108,서울,1963-04-10,.6,13.3
108,서울,1963-04-11,3.8,16.4
108,서울,1963-04-12,5.4,16.3
108,서울,1963-04-13,10.6,13.2
108,서울,1963-04-14,12.2,17.6
108,서울,1963-04-15,10.8,15.4
108,서울,1963-04-16,11.4,18.4
108,서울,1963-04-17,10.2,14.5
108,서울,1963-04-18,9.4,15.5
108,서울,1963-04-19,7.1,21.4
108,서울,1963-04-20,9.7,22.8
108,서울,1963-04-21,10,22.7
108,서울,1963-04-22,8.2,17.3
108,서울,1963-04-23,7.8,12
108,서울,1963-04-24,8,16.6
108,서울,1963-04-25,6.7,16.7
108,서울,1963-04-26,5.8,19.5
108,서울,1963-04-27,9.9,16.4
108,서울,1963-04-28,10.5,15.6
108,서울,1963-04-29,11.8,21.1
108,서울,1963-04-30,11.6,18.4
108,서울,1963-05-01,9.4,19.8
108,서울,1963-05-02,9,20.2
108,서울,1963-05-03,7.8,20.5
108,서울,1963-05-04,10.3,12.9
108,서울,1963-05-05,9,18.3
108,서울,1963-05-06,10.4,20.9
108,서울,1963-05-07,8.8,23.6
108,서울,1963-05-08,14,25.9
108,서울,1963-05-09,15.2,29.4
108,서울,1963-05-10,15.3,26.9
108,서울,1963-05-11,16.1,27.6
108,서울,1963-05-12,12.4,25.5
108,서울,1963-05-13,13.4,20.9
108,서울,1963-05-14,12.4,15.6
108,서울,1963-05-15,9.8,24.7
108,서울,1963-05-16,13.2,22.5
108,서울,1963-05-17,11.8,18.6
108,서울,1963-05-18,11.8,26.3
108,서울,1963-05-19,13,26.7
108,서울,1963-05-20,16,20.8
108,서울,1963-05-21,13.3,19.2
108,서울,1963-05-22,13.3,23
108,서울,1963-05-23,17.7,24.2
108,서울,1963-05-24,13.5,18.2
108,서울,1963-05-25,13.4,20.8
108,서울,1963-05-26,12.7,16.8
108,서울,1963-05-27,13.2,19.3
108,서울,1963-05-28,12.5,22.9
108,서울,1963-05-29,13.7,18
108,서울,1963-05-30,16.8,19.7
108,서울,1963-05-31,14.6,24.7
108,서울,1963-06-01,14.1,28.7
108,서울,1963-06-02,15.7,27
108,서울,1963-06-03,14,24.3
108,서울,1963-06-04,11.9,21.3
108,서울,1963-06-05,12.2,27
108,서울,1963-06-06,15.5,29.8
108,서울,1963-06-07,15.7,27.3
108,서울,1963-06-08,16,22.8
108,서울,1963-06-09,14.4,20
108,서울,1963-06-10,14.2,25.8
108,서울,1963-06-11,17.5,26.8
108,서울,1963-06-12,18,29.5
108,서울,1963-06-13,16.8,30.1
108,서울,1963-06-14,16.4,26.6
108,서울,1963-06-15,17.3,26.4
108,서울,1963-06-16,17.9,29.4
108,서울,1963-06-17,17.9,23.6
108,서울,1963-06-18,17.5,22.8
108,서울,1963-06-19,19.1,24.9
108,서울,1963-06-20,18.3,27.2
108,서울,1963-06-21,18.9,28.8
108,서울,1963-06-22,18.6,22.4
108,서울,1963-06-23,18.8,26.7
108,서울,1963-06-24,19,27.1
108,서울,1963-06-25,18.8,25.5
108,서울,1963-06-26,20.2,27
108,서울,1963-06-27,20.5,29.7
108,서울,1963-06-28,20.2,23.4
108,서울,1963-06-29,20.8,23.3
108,서울,1963-06-30,20.3,25.8
108,서울,1963-07-01,20.1,28.2
108,서울,1963-07-02,22.6,28.5
108,서울,1963-07-03,23,29.4
108,서울,1963-07-04,22.1,24.8
108,서울,1963-07-05,19.6,29.4
108,서울,1963-07-06,18.8,29.5
108,서울,1963-07-07,19.1,23
108,서울,1963-07-08,18.8,27.7
108,서울,1963-07-09,20,26.9
108,서울,1963-07-10,20,24.5
108,서울,1963-07-11,19.4,29.7
108,서울,1963-07-12,20.8,26.4
108,서울,1963-07-13,21.7,26.2
108,서울,1963-07-14,22,29.6
108,서울,1963-07-15,23.8,28.3
108,서울,1963-07-16,23.8,27.2
108,서울,1963-07-17,21,25
108,서울,1963-07-18,21.2,30.5
108,서울,1963-07-19,24,33.1
108,서울,1963-07-20,25.1,32
108,서울,1963-07-21,23,27
108,서울,1963-07-22,23.6,29
108,서울,1963-07-23,22.3,26.2
108,서울,1963-07-24,23.2,25.6
108,서울,1963-07-25,21.9,25.6
108,서울,1963-07-26,21.6,27.5
108,서울,1963-07-27,21.3,28.2
108,서울,1963-07-28,21.3,29.4
108,서울,1963-07-29,23.2,27.2
108,서울,1963-07-30,23,30.7
108,서울,1963-07-31,23.6,30.8
108,서울,1963-08-01,24.4,31.2
108,서울,1963-08-02,23.2,32
108,서울,1963-08-03,22.6,32.8
108,서울,1963-08-04,23,31.8
108,서울,1963-08-05,23,32.4
108,서울,1963-08-06,24,32.9
108,서울,1963-08-07,23.8,33.4
108,서울,1963-08-08,24.5,33.2
108,서울,1963-08-09,23.7,33.7
108,서울,1963-08-10,24.3,31.5
108,서울,1963-08-11,22.5,30.3
108,서울,1963-08-12,23.4,31.5
108,서울,1963-08-13,24.7,27.6
108,서울,1963-08-14,22.8,29.8
108,서울,1963-08-15,23.2,29.1
108,서울,1963-08-16,22.8,26.8
108,서울,1963-08-17,22.9,26.7
108,서울,1963-08-18,21.5,28.8
108,서울,1963-08-19,19.5,30.2
108,서울,1963-08-20,20.8,26.2
108,서울,1963-08-21,21.4,29.2
108,서울,1963-08-22,21,24.3
108,서울,1963-08-23,21.1,25.2
108,서울,1963-08-24,22,29.6
108,서울,1963-08-25,21.6,30.8
108,서울,1963-08-26,21.6,33.2
108,서울,1963-08-27,22.3,33
108,서울,1963-08-28,23.5,28.2
108,서울,1963-08-29,22.8,30.7
108,서울,1963-08-30,21,24.7
108,서울,1963-08-31,19.2,31.6
108,서울,1963-09-01,20.4,25.8
108,서울,1963-09-02,19.5,27.8
108,서울,1963-09-03,16.8,27.5
108,서울,1963-09-04,18.3,28
108,서울,1963-09-05,18,29.4
108,서울,1963-09-06,19.6,28.6
108,서울,1963-09-07,18.8,25.1
108,서울,1963-09-08,19.7,26.8
108,서울,1963-09-09,18.9,29.6
108,서울,1963-09-10,18.7,30.2
108,서울,1963-09-11,20.4,30.1
108,서울,1963-09-12,18.6,29.6
108,서울,1963-09-13,18.2,30
108,서울,1963-09-14,18.7,28.6
108,서울,1963-09-15,19,24.1
108,서울,1963-09-16,16.5,24.4
108,서울,1963-09-17,16.1,25.6
108,서울,1963-09-18,15.8,24.4
108,서울,1963-09-19,13.6,25.8
108,서울,1963-09-20,16.6,24.9
108,서울,1963-09-21,14.4,23.3
108,서울,1963-09-22,11.6,23
108,서울,1963-09-23,11.2,25.5
108,서울,1963-09-24,13.9,17.8
108,서울,1963-09-25,12,21.4
108,서울,1963-09-26,13.2,20.4
108,서울,1963-09-27,10.4,21.8
108,서울,1963-09-28,10.6,23.6
108,서울,1963-09-29,11.8,22.2
108,서울,1963-09-30,15,19.1
108,서울,1963-10-01,14,22.2
108,서울,1963-10-02,10,23.8
108,서울,1963-10-03,10,24.4
108,서울,1963-10-04,8.2,17.6
108,서울,1963-10-05,4.2,19.8
108,서울,1963-10-06,10.5,19.6
108,서울,1963-10-07,6.6,18.1
108,서울,1963-10-08,5.7,20.8
108,서울,1963-10-09,9.4,21.5
108,서울,1963-10-10,10.2,22.5
108,서울,1963-10-11,11.4,23.1
108,서울,1963-10-12,10.4,23.2
108,서울,1963-10-13,13.1,15.5
108,서울,1963-10-14,12.3,22
108,서울,1963-10-15,8.4,22.8
108,서울,1963-10-16,8.6,19.7
108,서울,1963-10-17,5.1,13
108,서울,1963-10-18,4.4,14.4
108,서울,1963-10-19,2,17
108,서울,1963-10-20,5.3,17.1
108,서울,1963-10-21,6,14.8
108,서울,1963-10-22,4.2,16.9
108,서울,1963-10-23,5.3,18.4
108,서울,1963-10-24,6.3,20.6
108,서울,1963-10-25,7.4,19.6
108,서울,1963-10-26,6.4,15.6
108,서울,1963-10-27,4.8,20.4
108,서울,1963-10-28,7.5,21.8
108,서울,1963-10-29,9.7,20.2
108,서울,1963-10-30,9.2,20
108,서울,1963-10-31,10.4,18.8
108,서울,1963-11-01,8.6,17.4
108,서울,1963-11-02,5.9,17.3
108,서울,1963-11-03,4.3,17.7
108,서울,1963-11-04,8.4,17.6
108,서울,1963-11-05,5.6,20.5
