지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,1953-12-01,7.4,16.2
108,서울,1953-12-02,1.4,9
108,서울,1953-12-03,-4.2,4.6
108,서울,1953-12-04,-6.6,-.5
108,서울,1953-12-05,-8.7,1
108,서울,1953-12-06,-2.4,3.7
108,서울,1953-12-07,-2.7,6.8
108,서울,1953-12-08,-2.4,9.2
108,서울,1953-12-09,.6,6.5
108,서울,1953-12-10,-2.8,1.6
108,서울,1953-12-11,-6.1,-1.9
108,서울,1953-12-12,-7.3,-.1
108,서울,1953-12-13,-3.6,8.2
108,서울,1953-12-14,.4,7.3
108,서울,1953-12-15,-3.4,4.5
108,서울,1953-12-16,-3.2,8.5
108,서울,1953-12-17,-.8,6.8
108,서울,1953-12-18,-4.2,8.2
108,서울,1953-12-19,-1,5.8
108,서울,1953-12-20,-5.3,6.4
108,서울,1953-12-21,-5,2.7
108,서울,1953-12-22,-5.5,3.2
108,서울,1953-12-23,-5.6,1.8
108,서울,1953-12-24,-2.8,5
108,서울,1953-12-25,-.6,4.2
108,서울,1953-12-26,-5.2,.4
108,서울,1953-12-27,-6.6,.1
108,서울,1953-12-28,-2.5,4.4
108,서울,1953-12-29,-3.8,5.4
108,서울,1953-12-30,-5.6,-.2
108,서울,1953-12-31,-9.2,2.3
108,서울,1954-01-01,-7.8,4
108,서울,1954-01-02,-6.3,2
108,서울,1954-01-03,-2.6,3.9
108,서울,1954-01-04,-4,6.6
108,서울,1954-01-05,-2.8,3.9
108,서울,1954-01-06,-5.9,1.3
108,서울,1954-01-07,-5.8,3.4
108,서울,1954-01-08,-6.2,2.9
108,서울,1954-01-09,.2,3.8
108,서울,1954-01-10,-6.3,1.4
108,서울,1954-01-11,-9.5,-1.5
108,서울,1954-01-12,-8.6,4.8
108,서울,1954-01-13,-2.2,4.6
108,서울,1954-01-14,-2,2.2
108,서울,1954-01-15,-1.8,2.8
108,서울,1954-01-16,-1.6,2.4
108,서울,1954-01-17,-4,6.9
108,서울,1954-01-18,-2.2,4.8
108,서울,1954-01-19,-1.3,5.8
108,서울,1954-01-20,-1.5,10.7
108,서울,1954-01-21,.5,5.5
108,서울,1954-01-22,-6.4,1.6
108,서울,1954-01-23,-9.1,-2.6
108,서울,1954-01-24,-9.8,-3.4
108,서울,1954-01-25,-11.7,-5
108,서울,1954-01-26,-11.9,-.3
108,서울,1954-01-27,-5.6,3.4
108,서울,1954-01-28,-8.6,-2.1
108,서울,1954-01-29,-10.6,-.4
108,서울,1954-01-30,-10,3.6
108,서울,1954-01-31,-6.2,-.2
108,서울,1954-02-01,-8.2,-.6
108,서울,1954-02-02,-12.3,-3.2
108,서울,1954-02-03,-13.9,-1.5
108,서울,1954-02-04,-12,0
108,서울,1954-02-05,-11.5,-.2
108,서울,1954-02-06,-10.6,-.5
108,서울,1954-02-07,-10.8,3
108,서울,1954-02-08,-7.1,6.2
108,서울,1954-02-09,-5.1,8.1
108,서울,1954-02-10,-1.7,9.9
108,서울,1954-02-11,5,8.6
108,서울,1954-02-12,-4.3,5.7
108,서울,1954-02-13,-4.3,6.3
108,서울,1954-02-14,1.2,10.5
108,서울,1954-02-15,1.4,6.1
108,서울,1954-02-16,2.5,11
108,서울,1954-02-17,-3.4,6.6
108,서울,1954-02-18,-8,-.4
108,서울,1954-02-19,-9.5,3.8
108,서울,1954-02-20,-3.7,5.6
108,서울,1954-02-21,-7.1,-.4
108,서울,1954-02-22,-9.2,2.9
108,서울,1954-02-23,-2.6,7
108,서울,1954-02-24,-3.2,12.2
108,서울,1954-02-25,5.9,10.8
108,서울,1954-02-26,5.6,10
108,서울,1954-02-27,3.4,7.8
108,서울,1954-02-28,2,6.4
108,서울,1954-03-01,3.2,7.2
108,서울,1954-03-02,.4,9.4
108,서울,1954-03-03,-2.6,4
108,서울,1954-03-04,-3.6,4.6
108,서울,1954-03-05,-4.9,4.4
108,서울,1954-03-06,-6.8,1.2
108,서울,1954-03-07,-7.4,1.9
108,서울,1954-03-08,-4.8,5.8
108,서울,1954-03-09,-1.1,6.8
108,서울,1954-03-10,-.3,10.4
108,서울,1954-03-11,-.1,11.5
108,서울,1954-03-12,-6.6,.2
108,서울,1954-03-13,-7.8,2
108,서울,1954-03-14,-3.2,6
108,서울,1954-03-15,-3.8,5.8
108,서울,1954-03-16,-3,8
108,서울,1954-03-17,-2.5,11.3
108,서울,1954-03-18,-1.6,13.9
108,서울,1954-03-19,-1.2,8.8
108,서울,1954-03-20,-2.8,3.1
108,서울,1954-03-21,-3.6,6.7
108,서울,1954-03-22,-3.6,8.2
108,서울,1954-03-23,-1.6,10.9
108,서울,1954-03-24,1.1,12.8
108,서울,1954-03-25,.7,17
108,서울,1954-03-26,3.9,18.2
108,서울,1954-03-27,8,13.2
108,서울,1954-03-28,3.4,12
108,서울,1954-03-29,.3,11.3
108,서울,1954-03-30,.6,12.2
108,서울,1954-03-31,.8,16.3
108,서울,1954-04-01,5.7,20.2
108,서울,1954-04-02,5.5,19.5
108,서울,1954-04-03,5.6,19.9
108,서울,1954-04-04,7.4,22.3
108,서울,1954-04-05,11.6,22.4
108,서울,1954-04-06,7.6,21.6
108,서울,1954-04-07,6.1,11.8
108,서울,1954-04-08,5.4,15.7
108,서울,1954-04-09,3.4,19
108,서울,1954-04-10,4.8,20.2
108,서울,1954-04-11,6.2,15.6
108,서울,1954-04-12,7,13.6
108,서울,1954-04-13,4.4,17.9
108,서울,1954-04-14,6.2,20.2
108,서울,1954-04-15,7.8,20.6
108,서울,1954-04-16,10.3,26.8
108,서울,1954-04-17,11.2,17.8
108,서울,1954-04-18,6.7,15.4
108,서울,1954-04-19,5.2,11.9
108,서울,1954-04-20,3.2,13.3
108,서울,1954-04-21,3,15.1
108,서울,1954-04-22,4.2,17
108,서울,1954-04-23,3.7,21.2
108,서울,1954-04-24,9.2,19.4
108,서울,1954-04-25,10.4,20.2
108,서울,1954-04-26,9.1,17.8
108,서울,1954-04-27,5,18.6
108,서울,1954-04-28,6.8,18
108,서울,1954-04-29,9.1,21.2
108,서울,1954-04-30,10,18
108,서울,1954-05-01,9.8,14.2
108,서울,1954-05-02,8.8,14
108,서울,1954-05-03,9.6,17.6
108,서울,1954-05-04,8.4,19.4
108,서울,1954-05-05,8.3,20.8
108,서울,1954-05-06,10.3,25.3
108,서울,1954-05-07,13.1,26.1
108,서울,1954-05-08,13.7,27.9
108,서울,1954-05-09,11.4,19.6
108,서울,1954-05-10,9.6,20.1
108,서울,1954-05-11,9.1,21.4
108,서울,1954-05-12,10,25.5
108,서울,1954-05-13,15.3,24
108,서울,1954-05-14,12.2,19.9
108,서울,1954-05-15,10.1,20.7
108,서울,1954-05-16,10.8,22.4
108,서울,1954-05-17,7.8,22.2
108,서울,1954-05-18,10.5,23.2
108,서울,1954-05-19,12.5,26.6
108,서울,1954-05-20,15.1,28.6
108,서울,1954-05-21,16.3,26.7
108,서울,1954-05-22,14.8,25.6
108,서울,1954-05-23,13.8,22.5
108,서울,1954-05-24,14.8,22
108,서울,1954-05-25,11.3,24.1
108,서울,1954-05-26,9.8,26.4
108,서울,1954-05-27,13.8,24.8
108,서울,1954-05-28,13.1,25.4
